Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,110,blackhole,riscv_0,0,7113.0,0.9897374140753291
128,110,blackhole,riscv_0,1024,7613.5,1.8493465634367767
256,110,blackhole,riscv_0,2048,8984.0,3.13446130330518
512,110,blackhole,riscv_0,3072,12156.5,4.632956519977394
1024,110,blackhole,riscv_0,4096,20251.5,5.562083987684501
2048,110,blackhole,riscv_0,5120,38729.0,5.816917023319422
4096,110,blackhole,riscv_0,6144,79852.5,5.642416243795996
8192,110,blackhole,riscv_0,7168,160860.0,5.601929871440619
16384,110,blackhole,riscv_0,8192,327239.0,5.5074446009826525
32768,110,blackhole,riscv_0,9216,673167.5,5.354854962586857
65536,110,blackhole,riscv_0,10240,1295157.5,5.566148264675493
64,440,blackhole,riscv_0,11264,23886.0,1.1789339358439288
128,440,blackhole,riscv_0,12288,26788.0,2.102434675673977
256,440,blackhole,riscv_0,13312,31862.5,3.5351915947995614
512,440,blackhole,riscv_0,14336,46606.0,4.833716705815105
1024,440,blackhole,riscv_0,15360,82594.5,5.455571955386866
2048,440,blackhole,riscv_0,16384,160599.0,5.611596272911239
4096,440,blackhole,riscv_0,17408,328613.5,5.485295468398153
8192,440,blackhole,riscv_0,18432,657207.5,5.484568649180984
16384,440,blackhole,riscv_0,19456,1291122.5,5.583511119112313
32768,440,blackhole,riscv_0,20480,2762103.5,5.2199092302363335
65536,440,blackhole,riscv_0,21504,5200845.5,5.544542156825992
64,1760,blackhole,riscv_0,22528,87467.0,1.2878019701990873
128,1760,blackhole,riscv_0,23552,97372.0,2.31366099650503
256,1760,blackhole,riscv_0,24576,120666.5,3.733981955720881
512,1760,blackhole,riscv_0,25600,179069.0,5.033179288152327
1024,1760,blackhole,riscv_0,26624,335851.0,5.366219849706983
2048,1760,blackhole,riscv_0,27648,641528.0,5.619567981302798
4096,1760,blackhole,riscv_0,28672,1329031.0,5.424266907964196
8192,1760,blackhole,riscv_0,29696,2670562.0,5.399384784984337
16384,1760,blackhole,riscv_0,30720,5257250.0,5.485200834439267
32768,1760,blackhole,riscv_0,31744,10783752.0,5.348034636538753
65536,1760,blackhole,riscv_0,32768,21346233.5,5.4034750593200584
64,7040,blackhole,riscv_0,33792,341407.0,1.3197276616319922
128,7040,blackhole,riscv_0,34816,382970.0,2.352987750728824
256,7040,blackhole,riscv_0,35840,476173.5,3.784839322816726
512,7040,blackhole,riscv_0,36864,725185.5,4.970774504073081
1024,7040,blackhole,riscv_0,37888,1303035.5,5.53257564075416
2048,7040,blackhole,riscv_0,38912,2598917.5,5.547831544544453
4096,7040,blackhole,riscv_0,39936,5244375.0,5.498859244844383
8192,7040,blackhole,riscv_0,40960,11019374.0,5.234546387945352
16384,7040,blackhole,riscv_0,41984,20856434.0,5.530454285367092
32768,7040,blackhole,riscv_0,43008,42363142.0,5.445458251987839
65536,7040,blackhole,riscv_0,44032,84756363.5,5.443526721636266
64,28160,blackhole,riscv_0,45056,1355344.0,1.3297417153462576
128,28160,blackhole,riscv_0,46080,1531056.0,2.354261488235842
256,28160,blackhole,riscv_0,47104,1889798.0,3.814676305079568
512,28160,blackhole,riscv_0,48128,2891489.5,4.986393124264673
1024,28160,blackhole,riscv_0,49152,5288808.0,5.452411240209326
2048,28160,blackhole,riscv_0,50176,10546002.0,5.46871447912988
4096,28160,blackhole,riscv_0,51200,20775460.5,5.5521576711057525
8192,28160,blackhole,riscv_0,52224,42192607.5,5.467506721095958
16384,28160,blackhole,riscv_0,53248,84439644.0,5.46395552218325
32768,28160,blackhole,riscv_0,54272,167419534.5,5.511651442314388
65536,28160,blackhole,riscv_0,55296,339136041.5,5.441819780388082
