Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,472.0,0.13559322033898305
128,1,blackhole,riscv_1,1024,481.0,0.2661122661122661
256,1,blackhole,riscv_1,2048,489.0,0.523517382413088
512,1,blackhole,riscv_1,3072,496.0,1.032258064516129
1024,1,blackhole,riscv_1,4096,514.0,1.9922178988326849
2048,1,blackhole,riscv_1,5120,538.0,3.806691449814126
4096,1,blackhole,riscv_1,6144,569.0,7.198594024604569
8192,1,blackhole,riscv_1,7168,658.0,12.44984802431611
16384,1,blackhole,riscv_1,8192,833.0,19.668667466986793
64,4,blackhole,riscv_1,9216,563.0,0.4547069271758437
128,4,blackhole,riscv_1,10240,566.0,0.9045936395759717
256,4,blackhole,riscv_1,11264,569.0,1.7996485061511422
512,4,blackhole,riscv_1,12288,582.0,3.5189003436426116
1024,4,blackhole,riscv_1,13312,676.0,6.059171597633136
2048,4,blackhole,riscv_1,14336,636.0,12.880503144654089
4096,4,blackhole,riscv_1,15360,786.0,20.844783715012724
8192,4,blackhole,riscv_1,16384,1047.0,31.297039159503342
16384,4,blackhole,riscv_1,17408,1562.0,41.956466069142124
64,16,blackhole,riscv_1,18432,1054.0,0.9715370018975332
128,16,blackhole,riscv_1,19456,1055.0,1.9412322274881517
256,16,blackhole,riscv_1,20480,1062.0,3.8568738229755177
512,16,blackhole,riscv_1,21504,1072.0,7.641791044776119
1024,16,blackhole,riscv_1,22528,1086.0,15.086556169429098
2048,16,blackhole,riscv_1,23552,1134.0,28.895943562610228
4096,16,blackhole,riscv_1,24576,1598.0,41.011264080100126
8192,16,blackhole,riscv_1,25600,2644.0,49.57337367624811
16384,16,blackhole,riscv_1,26624,4751.0,55.1765944011787
64,64,blackhole,riscv_1,27648,2912.0,1.4065934065934067
128,64,blackhole,riscv_1,28672,2886.0,2.8385308385308385
256,64,blackhole,riscv_1,29696,2897.0,5.6555056955471175
512,64,blackhole,riscv_1,30720,2903.0,11.287633482604203
1024,64,blackhole,riscv_1,31744,2909.0,22.52870402200069
2048,64,blackhole,riscv_1,32768,3004.0,43.63249001331558
4096,64,blackhole,riscv_1,33792,4802.0,54.59058725531029
8192,64,blackhole,riscv_1,34816,8935.0,58.67800783435926
16384,64,blackhole,riscv_1,35840,17513.0,59.87415063095986
64,256,blackhole,riscv_1,36864,10189.0,1.608008636765139
128,256,blackhole,riscv_1,37888,10163.0,3.2242448096034635
256,256,blackhole,riscv_1,38912,10285.0,6.371998055420515
512,256,blackhole,riscv_1,39936,10180.0,12.875442043222003
1024,256,blackhole,riscv_1,40960,10203.0,25.6928354405567
2048,256,blackhole,riscv_1,41984,10480.0,50.027480916030534
4096,256,blackhole,riscv_1,43008,17523.0,59.83998173828682
8192,256,blackhole,riscv_1,44032,34503.0,60.78172912500362
16384,256,blackhole,riscv_1,45056,68261.0,61.44510042337499
