Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,210.0,0.3047619047619048
128,1,blackhole,riscv_1,1024,209.0,0.6124401913875598
256,1,blackhole,riscv_1,2048,209.0,1.2248803827751196
512,1,blackhole,riscv_1,3072,217.0,2.359447004608295
1024,1,blackhole,riscv_1,4096,226.0,4.530973451327434
2048,1,blackhole,riscv_1,5120,243.0,8.427983539094651
4096,1,blackhole,riscv_1,6144,277.0,14.787003610108304
8192,1,blackhole,riscv_1,7168,346.0,23.67630057803468
16384,1,blackhole,riscv_1,8192,473.0,34.6384778012685
64,4,blackhole,riscv_1,9216,453.0,0.565121412803532
128,4,blackhole,riscv_1,10240,452.0,1.1327433628318584
256,4,blackhole,riscv_1,11264,454.0,2.2555066079295156
512,4,blackhole,riscv_1,12288,458.0,4.471615720524017
1024,4,blackhole,riscv_1,13312,466.0,8.78969957081545
2048,4,blackhole,riscv_1,14336,493.0,16.616632860040568
4096,4,blackhole,riscv_1,15360,593.0,27.62900505902192
8192,4,blackhole,riscv_1,16384,794.0,41.269521410579344
16384,4,blackhole,riscv_1,17408,1277.0,51.32028191072827
64,16,blackhole,riscv_1,18432,769.0,1.3315994798439532
128,16,blackhole,riscv_1,19456,763.0,2.6841415465268676
256,16,blackhole,riscv_1,20480,769.0,5.326397919375813
512,16,blackhole,riscv_1,21504,766.0,10.694516971279374
1024,16,blackhole,riscv_1,22528,777.0,21.086229086229086
2048,16,blackhole,riscv_1,23552,897.0,36.53065774804905
4096,16,blackhole,riscv_1,24576,1382.0,47.421128798842254
8192,16,blackhole,riscv_1,25600,2380.0,55.07226890756303
16384,16,blackhole,riscv_1,26624,4477.0,58.553495644404734
64,64,blackhole,riscv_1,27648,2053.0,1.995129079396006
128,64,blackhole,riscv_1,28672,2056.0,3.9844357976653697
256,64,blackhole,riscv_1,29696,2066.0,7.930300096805421
512,64,blackhole,riscv_1,30720,2061.0,15.899078117418728
1024,64,blackhole,riscv_1,31744,2070.0,31.65990338164251
2048,64,blackhole,riscv_1,32768,2506.0,52.30327214684757
4096,64,blackhole,riscv_1,33792,4590.0,57.1119825708061
8192,64,blackhole,riscv_1,34816,8823.0,59.422872038989006
16384,64,blackhole,riscv_1,35840,16978.0,61.76086700435858
64,256,blackhole,riscv_1,36864,7215.0,2.2708246708246707
128,256,blackhole,riscv_1,37888,7217.0,4.540390744076486
256,256,blackhole,riscv_1,38912,7213.0,9.085817274365729
512,256,blackhole,riscv_1,39936,7221.0,18.151502561972027
1024,256,blackhole,riscv_1,40960,7230.0,36.25781466113416
2048,256,blackhole,riscv_1,41984,8933.0,58.69114519198477
4096,256,blackhole,riscv_1,43008,17432.0,60.152363469481415
8192,256,blackhole,riscv_1,44032,34182.0,61.35252472061319
16384,256,blackhole,riscv_1,45056,68054.0,61.63199811914068
