Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_1,0,2x2,4,256,1460.0,0.17534246575342466
128,1,blackhole,riscv_1,1024,2x2,4,512,1440.0,0.35555555555555557
256,1,blackhole,riscv_1,2048,2x2,4,1024,1440.0,0.7111111111111111
512,1,blackhole,riscv_1,3072,2x2,4,2048,1480.0,1.3837837837837839
1024,1,blackhole,riscv_1,4096,2x2,4,4096,1528.0,2.680628272251309
2048,1,blackhole,riscv_1,5120,2x2,4,8192,1535.0,5.336807817589577
4096,1,blackhole,riscv_1,6144,2x2,4,16384,1621.0,10.107341147439852
8192,1,blackhole,riscv_1,7168,2x2,4,32768,1756.0,18.660592255125284
16384,1,blackhole,riscv_1,8192,2x2,4,65536,2348.0,27.911413969335605
64,4,blackhole,riscv_1,9216,2x2,4,1024,2926.0,0.3499658236500342
128,4,blackhole,riscv_1,10240,2x2,4,2048,2941.0,0.6963617817069024
256,4,blackhole,riscv_1,11264,2x2,4,4096,2983.0,1.3731143144485418
512,4,blackhole,riscv_1,12288,2x2,4,8192,2978.0,2.750839489590329
1024,4,blackhole,riscv_1,13312,2x2,4,16384,3075.0,5.328130081300813
2048,4,blackhole,riscv_1,14336,2x2,4,32768,3223.0,10.166925224945702
4096,4,blackhole,riscv_1,15360,2x2,4,65536,3458.0,18.951995373048003
8192,4,blackhole,riscv_1,16384,2x2,4,131072,3901.0,33.59958984875673
16384,4,blackhole,riscv_1,17408,2x2,4,262144,4902.0,53.476948184414525
64,16,blackhole,riscv_1,18432,2x2,4,4096,8830.0,0.4638731596828992
128,16,blackhole,riscv_1,19456,2x2,4,8192,8804.0,0.9304861426624261
256,16,blackhole,riscv_1,20480,2x2,4,16384,8950.0,1.8306145251396648
512,16,blackhole,riscv_1,21504,2x2,4,32768,9347.0,3.505723761634749
1024,16,blackhole,riscv_1,22528,2x2,4,65536,9183.0,7.13666557769792
2048,16,blackhole,riscv_1,23552,2x2,4,131072,9931.0,13.198268049541838
4096,16,blackhole,riscv_1,24576,2x2,4,262144,10430.0,25.13365292425695
8192,16,blackhole,riscv_1,25600,2x2,4,524288,12334.0,42.50754013296579
16384,16,blackhole,riscv_1,26624,2x2,4,1048576,16214.0,64.67102504008881
64,64,blackhole,riscv_1,27648,2x2,4,16384,32931.0,0.49752512829856366
128,64,blackhole,riscv_1,28672,2x2,4,32768,32892.0,0.9962300863431838
256,64,blackhole,riscv_1,29696,2x2,4,65536,32881.0,1.993126729722332
512,64,blackhole,riscv_1,30720,2x2,4,131072,33247.0,3.9423707402171626
1024,64,blackhole,riscv_1,31744,2x2,4,262144,34709.0,7.552623238929384
2048,64,blackhole,riscv_1,32768,2x2,4,524288,36097.0,14.52442031193728
4096,64,blackhole,riscv_1,33792,2x2,4,1048576,38839.0,26.99801745668014
8192,64,blackhole,riscv_1,34816,2x2,4,2097152,45297.0,46.297812217144624
16384,64,blackhole,riscv_1,35840,2x2,4,4194304,60086.0,69.80501281496521
64,256,blackhole,riscv_1,36864,2x2,4,65536,125459.0,0.5223698578818579
128,256,blackhole,riscv_1,37888,2x2,4,131072,126825.0,1.0334870885077863
256,256,blackhole,riscv_1,38912,2x2,4,262144,128462.0,2.0406345845464027
512,256,blackhole,riscv_1,39936,2x2,4,524288,129635.0,4.044339877347938
1024,256,blackhole,riscv_1,40960,2x2,4,1048576,135102.0,7.761365486817367
2048,256,blackhole,riscv_1,41984,2x2,4,2097152,140973.0,14.876267086605237
4096,256,blackhole,riscv_1,43008,2x2,4,4194304,150956.0,27.784943957179575
8192,256,blackhole,riscv_1,44032,2x2,4,8388608,175567.0,47.780095348214644
16384,256,blackhole,riscv_1,45056,2x2,4,16777216,237805.0,70.55030802548306
64,1,blackhole,riscv_1,46080,6x6,36,2304,1490.0,1.5463087248322147
128,1,blackhole,riscv_1,47104,6x6,36,4608,1487.0,3.0988567585743105
256,1,blackhole,riscv_1,48128,6x6,36,9216,1417.0,6.5038814396612565
512,1,blackhole,riscv_1,49152,6x6,36,18432,1503.0,12.263473053892216
1024,1,blackhole,riscv_1,50176,6x6,36,36864,1438.0,25.6356050069541
2048,1,blackhole,riscv_1,51200,6x6,36,73728,1573.0,46.870947234583596
4096,1,blackhole,riscv_1,52224,6x6,36,147456,2025.0,72.81777777777778
8192,1,blackhole,riscv_1,53248,6x6,36,294912,3026.0,97.45935228023794
16384,1,blackhole,riscv_1,54272,6x6,36,589824,6028.0,97.84737889847379
64,4,blackhole,riscv_1,55296,6x6,36,9216,2999.0,3.073024341447149
128,4,blackhole,riscv_1,56320,6x6,36,18432,2949.0,6.250254323499491
256,4,blackhole,riscv_1,57344,6x6,36,36864,3008.0,12.25531914893617
512,4,blackhole,riscv_1,58368,6x6,36,73728,2977.0,24.76587168290225
1024,4,blackhole,riscv_1,59392,6x6,36,147456,3107.0,47.45928548439009
2048,4,blackhole,riscv_1,60416,6x6,36,294912,3376.0,87.35545023696683
4096,4,blackhole,riscv_1,61440,6x6,36,589824,5266.0,112.00607671857198
8192,4,blackhole,riscv_1,62464,6x6,36,1179648,11003.0,107.21148777606108
16384,4,blackhole,riscv_1,63488,6x6,36,2359296,20507.0,115.04832496220803
64,16,blackhole,riscv_1,64512,6x6,36,36864,8905.0,4.139696799550814
128,16,blackhole,riscv_1,65536,6x6,36,73728,8927.0,8.25898958216646
256,16,blackhole,riscv_1,66560,6x6,36,147456,9025.0,16.338614958448755
512,16,blackhole,riscv_1,67584,6x6,36,294912,9244.0,31.903072263089573
1024,16,blackhole,riscv_1,68608,6x6,36,589824,9761.0,60.42659563569306
2048,16,blackhole,riscv_1,69632,6x6,36,1179648,10865.0,108.57321675103543
4096,16,blackhole,riscv_1,70656,6x6,36,2359296,18729.0,125.9702066314272
8192,16,blackhole,riscv_1,71680,6x6,36,4718592,41571.0,113.50681965793461
16384,16,blackhole,riscv_1,72704,6x6,36,9437184,83334.0,113.2453020375837
64,64,blackhole,riscv_1,73728,6x6,36,147456,33227.0,4.437836699070034
128,64,blackhole,riscv_1,74752,6x6,36,294912,33153.0,8.895484571531988
256,64,blackhole,riscv_1,75776,6x6,36,589824,33742.0,17.480410171299862
512,64,blackhole,riscv_1,76800,6x6,36,1179648,34105.0,34.58871133264917
1024,64,blackhole,riscv_1,77824,6x6,36,2359296,36051.0,65.44328867437797
2048,64,blackhole,riscv_1,78848,6x6,36,4718592,40886.0,115.40850168761924
4096,64,blackhole,riscv_1,79872,6x6,36,9437184,77872.0,121.18841175261969
8192,64,blackhole,riscv_1,80896,6x6,36,18874368,162670.0,116.02857318497571
16384,64,blackhole,riscv_1,81920,6x6,36,37748736,326804.0,115.50879426200413
64,256,blackhole,riscv_1,82944,6x6,36,589824,129307.0,4.561423588823498
128,256,blackhole,riscv_1,83968,6x6,36,1179648,130125.0,9.06549855907781
256,256,blackhole,riscv_1,84992,6x6,36,2359296,130548.0,18.072249287618348
512,256,blackhole,riscv_1,86016,6x6,36,4718592,134342.0,35.12372899018922
1024,256,blackhole,riscv_1,87040,6x6,36,9437184,140461.0,67.18721922811314
2048,256,blackhole,riscv_1,88064,6x6,36,18874368,158098.0,119.38397702690736
4096,256,blackhole,riscv_1,89088,6x6,36,37748736,302588.0,124.75291815934538
8192,256,blackhole,riscv_1,90112,6x6,36,75497472,654155.0,115.41220658712385
16384,256,blackhole,riscv_1,91136,6x6,36,150994944,1358030.0,111.18675139724454
64,1,blackhole,riscv_1,92160,11x10,110,7040,1961.0,3.5900050994390615
128,1,blackhole,riscv_1,93184,11x10,110,14080,2034.0,6.922320550639134
256,1,blackhole,riscv_1,94208,11x10,110,28160,2132.0,13.208255159474671
512,1,blackhole,riscv_1,95232,11x10,110,56320,2180.0,25.834862385321102
1024,1,blackhole,riscv_1,96256,11x10,110,112640,2204.0,51.1070780399274
2048,1,blackhole,riscv_1,97280,11x10,110,225280,2484.0,90.69243156199678
4096,1,blackhole,riscv_1,98304,11x10,110,450560,3838.0,117.39447628973424
8192,1,blackhole,riscv_1,99328,11x10,110,901120,7637.0,117.99397669241849
16384,1,blackhole,riscv_1,100352,11x10,110,1802240,14571.0,123.68677510122846
64,4,blackhole,riscv_1,101376,11x10,110,28160,3720.0,7.56989247311828
128,4,blackhole,riscv_1,102400,11x10,110,56320,3708.0,15.188781014023732
