Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
64,1,blackhole,riscv_0,0,2x2,4,256,788.0,0.3248730964467005
128,1,blackhole,riscv_0,1024,2x2,4,512,815.0,0.6282208588957056
256,1,blackhole,riscv_0,2048,2x2,4,1024,823.0,1.244228432563791
512,1,blackhole,riscv_0,3072,2x2,4,2048,847.0,2.4179456906729633
1024,1,blackhole,riscv_0,4096,2x2,4,4096,850.0,4.818823529411764
2048,1,blackhole,riscv_0,5120,2x2,4,8192,878.0,9.330296127562642
4096,1,blackhole,riscv_0,6144,2x2,4,16384,908.0,18.044052863436125
8192,1,blackhole,riscv_0,7168,2x2,4,32768,1010.0,32.443564356435644
16384,1,blackhole,riscv_0,8192,2x2,4,65536,1194.0,54.88777219430486
64,4,blackhole,riscv_0,9216,2x2,4,1024,920.0,1.1130434782608696
128,4,blackhole,riscv_0,10240,2x2,4,2048,928.0,2.206896551724138
256,4,blackhole,riscv_0,11264,2x2,4,4096,1018.0,4.023575638506876
512,4,blackhole,riscv_0,12288,2x2,4,8192,947.0,8.650475184794086
1024,4,blackhole,riscv_0,13312,2x2,4,16384,964.0,16.99585062240664
2048,4,blackhole,riscv_0,14336,2x2,4,32768,983.0,33.33468972533062
4096,4,blackhole,riscv_0,15360,2x2,4,65536,1161.0,56.44788975021533
8192,4,blackhole,riscv_0,16384,2x2,4,131072,1591.0,82.38340666247643
16384,4,blackhole,riscv_0,17408,2x2,4,262144,2523.0,103.90170432025367
64,16,blackhole,riscv_0,18432,2x2,4,4096,1343.0,3.0498883097542815
128,16,blackhole,riscv_0,19456,2x2,4,8192,1350.0,6.068148148148148
256,16,blackhole,riscv_0,20480,2x2,4,16384,1346.0,12.172362555720653
512,16,blackhole,riscv_0,21504,2x2,4,32768,1369.0,23.93571950328707
1024,16,blackhole,riscv_0,22528,2x2,4,65536,1388.0,47.216138328530256
2048,16,blackhole,riscv_0,23552,2x2,4,131072,1590.0,82.43522012578616
4096,16,blackhole,riscv_0,24576,2x2,4,262144,2493.0,105.15202567188126
8192,16,blackhole,riscv_0,25600,2x2,4,524288,4675.0,112.14716577540106
16384,16,blackhole,riscv_0,26624,2x2,4,1048576,8819.0,118.89964848622293
64,64,blackhole,riscv_0,27648,2x2,4,16384,3069.0,5.338546757901597
128,64,blackhole,riscv_0,28672,2x2,4,32768,3066.0,10.68754076973255
256,64,blackhole,riscv_0,29696,2x2,4,65536,3106.0,21.099806825499034
