Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,blackhole,riscv_0,0,1,2,4096,757.0,5.4108322324966975
4096,1,blackhole,riscv_0,1024,1,2,8192,755.0,10.850331125827815
8192,1,blackhole,riscv_0,2048,1,2,16384,866.0,18.919168591224018
16384,1,blackhole,riscv_0,3072,1,2,32768,1216.0,26.94736842105263
32768,1,blackhole,riscv_0,4096,1,2,65536,1906.0,34.38405036726128
65536,1,blackhole,riscv_0,5120,1,2,131072,3283.0,39.9244593359732
2048,4,blackhole,riscv_0,6144,1,2,16384,864.0,18.962962962962962
4096,4,blackhole,riscv_0,7168,1,2,32768,1255.0,26.10996015936255
8192,4,blackhole,riscv_0,8192,1,2,65536,1961.0,33.419683834778176
16384,4,blackhole,riscv_0,9216,1,2,131072,3445.0,38.047024673439765
32768,4,blackhole,riscv_0,10240,1,2,262144,6084.0,43.08744247205786
65536,4,blackhole,riscv_0,11264,1,2,524288,11589.0,45.240141513504184
2048,16,blackhole,riscv_0,12288,1,2,65536,2000.0,32.768
4096,16,blackhole,riscv_0,13312,1,2,131072,3618.0,36.2277501381979
8192,16,blackhole,riscv_0,14336,1,2,262144,6578.0,39.85162663423533
16384,16,blackhole,riscv_0,15360,1,2,524288,11661.0,44.960809536060374
32768,16,blackhole,riscv_0,16384,1,2,1048576,22832.0,45.92571829011913
65536,16,blackhole,riscv_0,17408,1,2,2097152,44989.0,46.61477249994443
2048,64,blackhole,riscv_0,18432,1,2,262144,6719.0,39.015329662152105
4096,64,blackhole,riscv_0,19456,1,2,524288,13069.0,40.11691789731425
8192,64,blackhole,riscv_0,20480,1,2,1048576,25209.0,41.59530326470705
16384,64,blackhole,riscv_0,21504,1,2,2097152,45202.0,46.39511526038671
32768,64,blackhole,riscv_0,22528,1,2,4194304,89978.0,46.61477249994443
65536,64,blackhole,riscv_0,23552,1,2,8388608,177744.0,47.19488702853542
2048,256,blackhole,riscv_0,24576,1,2,1048576,25454.0,41.194939891569106
4096,256,blackhole,riscv_0,25600,1,2,2097152,51562.0,40.67243318723091
8192,256,blackhole,riscv_0,26624,1,2,4194304,98857.0,42.42799194796524
16384,256,blackhole,riscv_0,27648,1,2,8388608,179509.0,46.73084914962481
32768,256,blackhole,riscv_0,28672,1,2,16777216,356096.0,47.11430625449317
65536,256,blackhole,riscv_0,29696,1,2,33554432,710940.0,47.19727684474076
