Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Loopback,Latency (cycles),Bandwidth (bytes/cycle)
64,110,blackhole,riscv_0,0,true,5427.0,1.297217615625576
128,110,blackhole,riscv_0,1024,true,5430.0,2.593001841620626
256,110,blackhole,riscv_0,2048,true,5431.0,5.185048793960597
512,110,blackhole,riscv_0,3072,true,5435.0,10.362465501379944
1024,110,blackhole,riscv_0,4096,true,5435.0,20.724931002759888
2048,110,blackhole,riscv_0,5120,true,5456.0,41.29032258064516
4096,110,blackhole,riscv_0,6144,true,7689.0,58.59799713876967
8192,110,blackhole,riscv_0,7168,true,14870.0,60.59986550100874
16384,110,blackhole,riscv_0,8192,true,29293.0,61.52459631993992
32768,110,blackhole,riscv_0,9216,true,58326.0,61.79885471316394
65536,110,blackhole,riscv_0,10240,true,116008.0,62.14192124681056
64,440,blackhole,riscv_0,11264,true,16759.0,1.6802911868249895
128,440,blackhole,riscv_0,12288,true,16760.0,3.360381861575179
256,440,blackhole,riscv_0,13312,true,16755.0,6.722769322590271
512,440,blackhole,riscv_0,14336,true,16754.0,13.446341172257371
1024,440,blackhole,riscv_0,15360,true,16783.0,26.846213430256807
2048,440,blackhole,riscv_0,16384,true,16799.0,53.641288171914994
4096,440,blackhole,riscv_0,17408,true,29496.0,61.10116625983184
8192,440,blackhole,riscv_0,18432,true,58372.0,61.75015418351264
16384,440,blackhole,riscv_0,19456,true,115842.0,62.23096976916835
32768,440,blackhole,riscv_0,20480,true,231020.0,62.409834646350966
65536,440,blackhole,riscv_0,21504,true,461960.0,62.420642479868384
64,1760,blackhole,riscv_0,22528,true,57666.0,1.9533173793916692
128,1760,blackhole,riscv_0,23552,true,57689.0,3.905077224427534
256,1760,blackhole,riscv_0,24576,true,57676.0,7.811914834593245
512,1760,blackhole,riscv_0,25600,true,57689.0,15.620308897710135
1024,1760,blackhole,riscv_0,26624,true,57705.0,31.23195563642665
2048,1760,blackhole,riscv_0,27648,true,62862.0,57.3395692151061
4096,1760,blackhole,riscv_0,28672,true,116574.0,61.840204505292775
8192,1760,blackhole,riscv_0,29696,true,231823.0,62.193656367142175
16384,1760,blackhole,riscv_0,30720,true,464410.0,62.091341702375054
32768,1760,blackhole,riscv_0,31744,true,924312.0,62.39416993396169
65536,1760,blackhole,riscv_0,32768,true,1846145.0,62.47795270685672
64,7040,blackhole,riscv_0,33792,true,221354.0,2.035472591414657
128,7040,blackhole,riscv_0,34816,true,221350.0,4.071018748588209
256,7040,blackhole,riscv_0,35840,true,221352.0,8.141963930752828
512,7040,blackhole,riscv_0,36864,true,221348.0,16.284222129858865
1024,7040,blackhole,riscv_0,37888,true,221363.0,32.56623735673983
2048,7040,blackhole,riscv_0,38912,true,245759.0,58.666905382915786
4096,7040,blackhole,riscv_0,39936,true,465300.0,61.9725768321513
8192,7040,blackhole,riscv_0,40960,true,926025.0,62.27875057368861
16384,7040,blackhole,riscv_0,41984,true,1846495.0,62.466110116734676
32768,7040,blackhole,riscv_0,43008,true,3703592.0,62.28729298475642
65536,7040,blackhole,riscv_0,44032,true,7385071.0,62.47379883009926
64,28160,blackhole,riscv_0,45056,true,876060.0,2.057210693331507
128,28160,blackhole,riscv_0,46080,true,876075.0,4.114350940273378
256,28160,blackhole,riscv_0,47104,true,876079.0,8.228664309953782
512,28160,blackhole,riscv_0,48128,true,876059.0,16.457704332699052
1024,28160,blackhole,riscv_0,49152,true,876080.0,32.91461966943658
2048,28160,blackhole,riscv_0,50176,true,978259.0,58.95338555535906
