Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
64,2,blackhole,riscv_0,0,332.0,0.3855421686746988
128,2,blackhole,riscv_0,1024,332.0,0.7710843373493976
256,2,blackhole,riscv_0,2048,334.0,1.532934131736527
512,2,blackhole,riscv_0,3072,340.0,3.011764705882353
1024,2,blackhole,riscv_0,4096,349.0,5.868194842406877
2048,2,blackhole,riscv_0,5120,389.0,10.52956298200514
4096,2,blackhole,riscv_0,6144,454.0,18.044052863436125
8192,2,blackhole,riscv_0,7168,581.0,28.199655765920827
16384,2,blackhole,riscv_0,8192,845.0,38.77869822485207
64,4,blackhole,riscv_0,9216,403.0,0.6352357320099256
128,4,blackhole,riscv_0,10240,403.0,1.2704714640198511
256,4,blackhole,riscv_0,11264,411.0,2.491484184914842
512,4,blackhole,riscv_0,12288,419.0,4.88782816229117
1024,4,blackhole,riscv_0,13312,427.0,9.592505854800937
2048,4,blackhole,riscv_0,14336,435.0,18.832183908045977
4096,4,blackhole,riscv_0,15360,548.0,29.8978102189781
8192,4,blackhole,riscv_0,16384,820.0,39.9609756097561
16384,4,blackhole,riscv_0,17408,1348.0,48.61721068249258
64,8,blackhole,riscv_0,18432,527.0,0.9715370018975332
128,8,blackhole,riscv_0,19456,527.0,1.9430740037950665
256,8,blackhole,riscv_0,20480,535.0,3.8280373831775703
512,8,blackhole,riscv_0,21504,536.0,7.641791044776119
1024,8,blackhole,riscv_0,22528,544.0,15.058823529411764
2048,8,blackhole,riscv_0,23552,575.0,28.493913043478262
4096,8,blackhole,riscv_0,24576,835.0,39.24311377245509
8192,8,blackhole,riscv_0,25600,1353.0,48.437546193643755
16384,8,blackhole,riscv_0,26624,2393.0,54.77308817384037
64,16,blackhole,riscv_0,27648,773.0,1.3247089262613196
128,16,blackhole,riscv_0,28672,773.0,2.6494178525226393
256,16,blackhole,riscv_0,29696,782.0,5.2378516624040925
512,16,blackhole,riscv_0,30720,782.0,10.475703324808185
1024,16,blackhole,riscv_0,31744,789.0,20.76552598225602
2048,16,blackhole,riscv_0,32768,871.0,37.621125143513204
4096,16,blackhole,riscv_0,33792,1357.0,48.29476787030214
8192,16,blackhole,riscv_0,34816,2413.0,54.31910484873601
16384,16,blackhole,riscv_0,35840,4501.0,58.24127971561875
64,30,blackhole,riscv_0,36864,1205.0,1.5933609958506223
128,30,blackhole,riscv_0,37888,1205.0,3.1867219917012446
256,30,blackhole,riscv_0,38912,1225.0,6.2693877551020405
512,30,blackhole,riscv_0,39936,1284.0,11.962616822429906
1024,30,blackhole,riscv_0,40960,1235.0,24.874493927125506
2048,30,blackhole,riscv_0,41984,1396.0,44.01146131805157
4096,30,blackhole,riscv_0,43008,2298.0,53.472584856396864
8192,30,blackhole,riscv_0,44032,4262.0,57.663068981698736
16384,30,blackhole,riscv_0,45056,8199.0,59.94877424076107
