Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
1,16,wormhole_b0,riscv_0,0,0,2814.0,0.005689898269562722
2,16,wormhole_b0,riscv_0,1024,0,2733.0,0.011709009896748212
3,16,wormhole_b0,riscv_0,2048,0,2724.0,0.017622401712642125
4,16,wormhole_b0,riscv_0,3072,0,2717.0,0.023557893895456157
1,32,wormhole_b0,riscv_0,4096,0,5413.5,0.005911184816657453
2,32,wormhole_b0,riscv_0,5120,0,5414.0,0.011821349877273183
3,32,wormhole_b0,riscv_0,6144,0,5416.0,0.01772543313080556
4,32,wormhole_b0,riscv_0,7168,0,5407.0,0.02367360676889145
1,64,wormhole_b0,riscv_0,8192,0,10778.0,0.005938061972461466
2,64,wormhole_b0,riscv_0,9216,0,10798.5,0.01185350551546714
3,64,wormhole_b0,riscv_0,10240,0,10794.0,0.017787694161844753
4,64,wormhole_b0,riscv_0,11264,0,10783.5,0.02374011647601282
1,16,wormhole_b0,riscv_0,12288,1,2783.5,0.005751541071034683
2,16,wormhole_b0,riscv_0,13312,1,2774.0,0.011543903454015812
3,16,wormhole_b0,riscv_0,14336,1,2766.0,0.017369598492876486
4,16,wormhole_b0,riscv_0,15360,1,2786.0,0.02298529631481647
1,32,wormhole_b0,riscv_0,16384,1,5576.5,0.005739418413662934
2,32,wormhole_b0,riscv_0,17408,1,5587.0,0.011456762566791838
3,32,wormhole_b0,riscv_0,18432,1,5589.0,0.017178643238605074
4,32,wormhole_b0,riscv_0,19456,1,5566.0,0.02300200495265277
1,64,wormhole_b0,riscv_0,20480,1,11187.5,0.005720848938826467
2,64,wormhole_b0,riscv_0,21504,1,11186.5,0.011442709415506578
3,64,wormhole_b0,riscv_0,22528,1,11193.5,0.017153248929993117
4,64,wormhole_b0,riscv_0,23552,1,11171.0,0.022917626317265696
