Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,45056,389.0,0.08226221079691516
64,1,wormhole_b0,riscv_1,46080,397.0,0.16120906801007556
128,1,wormhole_b0,riscv_1,47104,398.0,0.32160804020100503
256,1,wormhole_b0,riscv_1,48128,405.0,0.6320987654320988
512,1,wormhole_b0,riscv_1,49152,413.0,1.2397094430992737
1024,1,wormhole_b0,riscv_1,50176,437.0,2.34324942791762
2048,1,wormhole_b0,riscv_1,51200,478.0,4.2845188284518825
4096,1,wormhole_b0,riscv_1,52224,557.0,7.353680430879713
8192,1,wormhole_b0,riscv_1,53248,733.0,11.175989085948158
32,4,wormhole_b0,riscv_1,54272,483.0,0.2650103519668737
64,4,wormhole_b0,riscv_1,55296,483.0,0.5300207039337475
128,4,wormhole_b0,riscv_1,56320,459.0,1.1154684095860568
256,4,wormhole_b0,riscv_1,57344,476.0,2.1512605042016806
512,4,wormhole_b0,riscv_1,58368,475.0,4.311578947368421
1024,4,wormhole_b0,riscv_1,59392,579.0,7.07426597582038
2048,4,wormhole_b0,riscv_1,60416,747.0,10.966532797858099
4096,4,wormhole_b0,riscv_1,61440,1219.0,13.440525020508614
8192,4,wormhole_b0,riscv_1,62464,1891.0,17.32839767318879
32,16,wormhole_b0,riscv_1,63488,779.0,0.6572528883183568
64,16,wormhole_b0,riscv_1,64512,755.0,1.3562913907284768
128,16,wormhole_b0,riscv_1,65536,764.0,2.680628272251309
256,16,wormhole_b0,riscv_1,66560,915.0,4.476502732240437
512,16,wormhole_b0,riscv_1,67584,771.0,10.625162127107652
1024,16,wormhole_b0,riscv_1,68608,1083.0,15.128347183748845
2048,16,wormhole_b0,riscv_1,69632,1915.0,17.111227154046997
4096,16,wormhole_b0,riscv_1,70656,3395.0,19.303681885125183
8192,16,wormhole_b0,riscv_1,71680,6243.0,20.9950344385712
32,64,wormhole_b0,riscv_1,72704,1907.0,1.0739381227058207
64,64,wormhole_b0,riscv_1,73728,1899.0,2.156924697209057
128,64,wormhole_b0,riscv_1,74752,1916.0,4.275574112734864
256,64,wormhole_b0,riscv_1,75776,1915.0,8.555613577023498
512,64,wormhole_b0,riscv_1,76800,2051.0,15.976596782057532
1024,64,wormhole_b0,riscv_1,77824,3259.0,20.10923596195152
2048,64,wormhole_b0,riscv_1,78848,6267.0,20.91463220041487
4096,64,wormhole_b0,riscv_1,79872,12255.0,21.39077927376581
8192,64,wormhole_b0,riscv_1,80896,23781.0,22.04650771624406
32,256,wormhole_b0,riscv_1,81920,6524.0,1.25567136725935
64,256,wormhole_b0,riscv_1,82944,6507.0,2.5179037959120945
128,256,wormhole_b0,riscv_1,83968,6516.0,5.0288520564763655
256,256,wormhole_b0,riscv_1,84992,6507.0,10.071615183648378
512,256,wormhole_b0,riscv_1,86016,6683.0,19.612748765524465
1024,256,wormhole_b0,riscv_1,87040,12105.0,21.65584469227592
2048,256,wormhole_b0,riscv_1,88064,23843.0,21.989179214025082
4096,256,wormhole_b0,riscv_1,89088,47353.0,22.14381348594598
32,1,wormhole_b0,riscv_0,45056,435.0,0.0735632183908046
64,1,wormhole_b0,riscv_0,46080,428.0,0.14953271028037382
128,1,wormhole_b0,riscv_0,47104,436.0,0.29357798165137616
256,1,wormhole_b0,riscv_0,48128,438.0,0.5844748858447488
512,1,wormhole_b0,riscv_0,49152,473.0,1.0824524312896406
1024,1,wormhole_b0,riscv_0,50176,559.0,1.8318425760286225
2048,1,wormhole_b0,riscv_0,51200,527.0,3.886148007590133
4096,1,wormhole_b0,riscv_0,52224,625.0,6.5536
8192,1,wormhole_b0,riscv_0,53248,777.0,10.543114543114543
32,4,wormhole_b0,riscv_0,54272,612.0,0.20915032679738563
64,4,wormhole_b0,riscv_0,55296,606.0,0.42244224422442245
128,4,wormhole_b0,riscv_0,56320,508.0,1.0078740157480315
256,4,wormhole_b0,riscv_0,57344,525.0,1.9504761904761905
512,4,wormhole_b0,riscv_0,58368,628.0,3.261146496815287
1024,4,wormhole_b0,riscv_0,59392,608.0,6.7368421052631575
2048,4,wormhole_b0,riscv_0,60416,780.0,10.502564102564103
4096,4,wormhole_b0,riscv_0,61440,1306.0,12.545176110260337
8192,4,wormhole_b0,riscv_0,62464,1972.0,16.616632860040568
32,16,wormhole_b0,riscv_0,63488,1308.0,0.39143730886850153
64,16,wormhole_b0,riscv_0,64512,1445.0,0.7086505190311418
128,16,wormhole_b0,riscv_0,65536,853.0,2.4009378663540444
256,16,wormhole_b0,riscv_0,66560,898.0,4.5612472160356345
512,16,wormhole_b0,riscv_0,67584,1355.0,6.0457564575645755
1024,16,wormhole_b0,riscv_0,68608,1122.0,14.602495543672013
2048,16,wormhole_b0,riscv_0,69632,1965.0,16.675826972010178
4096,16,wormhole_b0,riscv_0,70656,3492.0,18.767468499427263
8192,16,wormhole_b0,riscv_0,71680,6372.0,20.569993722536097
32,64,wormhole_b0,riscv_0,72704,4420.0,0.4633484162895928
64,64,wormhole_b0,riscv_0,73728,4503.0,0.9096158116811015
128,64,wormhole_b0,riscv_0,74752,2228.0,3.6768402154398565
256,64,wormhole_b0,riscv_0,75776,2205.0,7.430385487528345
512,64,wormhole_b0,riscv_0,76800,4511.0,7.264021281312347
1024,64,wormhole_b0,riscv_0,77824,3313.0,19.781466948385148
2048,64,wormhole_b0,riscv_0,78848,6361.0,20.605565162710267
4096,64,wormhole_b0,riscv_0,79872,12291.0,21.32812627125539
8192,64,wormhole_b0,riscv_0,80896,24136.0,21.722240636393767
32,256,wormhole_b0,riscv_0,81920,16448.0,0.4980544747081712
64,256,wormhole_b0,riscv_0,82944,16992.0,0.9642184557438794
128,256,wormhole_b0,riscv_0,83968,7582.0,4.321814824584543
256,256,wormhole_b0,riscv_0,84992,7595.0,8.628834759710335
512,256,wormhole_b0,riscv_0,86016,17069.0,7.678950143535063
1024,256,wormhole_b0,riscv_0,87040,12472.0,21.018601667735727
2048,256,wormhole_b0,riscv_0,88064,24322.0,21.55612202943837
4096,256,wormhole_b0,riscv_0,89088,47991.0,21.84943010147736
