Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Posted writes,Same destination,Same value,NoC Index,Stateful,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,0,0,1,0,0,0,297.0,0.10774410774410774
32,1,wormhole_b0,riscv_0,1024,0,1,0,0,1,308.0,0.1038961038961039
32,1,wormhole_b0,riscv_0,2048,1,1,0,0,0,67.0,0.47761194029850745
32,1,wormhole_b0,riscv_0,3072,1,1,0,0,1,77.0,0.4155844155844156
32,2,wormhole_b0,riscv_0,4096,0,1,0,0,0,324.0,0.19753086419753085
32,2,wormhole_b0,riscv_0,5120,0,1,0,0,1,319.0,0.2006269592476489
32,2,wormhole_b0,riscv_0,6144,1,1,0,0,0,105.0,0.6095238095238096
32,2,wormhole_b0,riscv_0,7168,1,1,0,0,1,93.0,0.6881720430107527
32,4,wormhole_b0,riscv_0,8192,0,1,0,0,0,358.0,0.3575418994413408
32,4,wormhole_b0,riscv_0,9216,0,1,0,0,1,353.0,0.3626062322946176
32,4,wormhole_b0,riscv_0,10240,1,1,0,0,0,141.0,0.9078014184397163
32,4,wormhole_b0,riscv_0,11264,1,1,0,0,1,131.0,0.9770992366412213
32,8,wormhole_b0,riscv_0,12288,0,1,0,0,0,444.0,0.5765765765765766
32,8,wormhole_b0,riscv_0,13312,0,1,0,0,1,425.0,0.6023529411764705
32,8,wormhole_b0,riscv_0,14336,1,1,0,0,0,218.0,1.1743119266055047
32,8,wormhole_b0,riscv_0,15360,1,1,0,0,1,190.0,1.3473684210526315
32,16,wormhole_b0,riscv_0,16384,0,1,0,0,0,621.0,0.8244766505636071
32,16,wormhole_b0,riscv_0,17408,0,1,0,0,1,567.0,0.9029982363315696
32,16,wormhole_b0,riscv_0,18432,1,1,0,0,0,369.0,1.3875338753387534
32,16,wormhole_b0,riscv_0,19456,1,1,0,0,1,309.0,1.656957928802589
32,32,wormhole_b0,riscv_0,20480,0,1,0,0,0,972.0,1.0534979423868314
32,32,wormhole_b0,riscv_0,21504,0,1,0,0,1,855.0,1.1976608187134503
32,32,wormhole_b0,riscv_0,22528,1,1,0,0,0,673.0,1.5215453194650816
32,32,wormhole_b0,riscv_0,23552,1,1,0,0,1,550.0,1.8618181818181818
32,64,wormhole_b0,riscv_0,24576,0,1,0,0,0,1677.0,1.2212283840190816
32,64,wormhole_b0,riscv_0,25600,0,1,0,0,1,1432.0,1.4301675977653632
32,64,wormhole_b0,riscv_0,26624,1,1,0,0,0,1278.0,1.6025039123630673
32,64,wormhole_b0,riscv_0,27648,1,1,0,0,1,1034.0,1.9806576402321083
32,128,wormhole_b0,riscv_0,28672,0,1,0,0,0,3085.0,1.3277147487844407
32,128,wormhole_b0,riscv_0,29696,0,1,0,0,1,2581.0,1.5869817900038745
32,128,wormhole_b0,riscv_0,30720,1,1,0,0,0,2499.0,1.6390556222488997
32,128,wormhole_b0,riscv_0,31744,1,1,0,0,1,1989.0,2.059326294620412
32,256,wormhole_b0,riscv_0,32768,0,1,0,0,0,5900.0,1.3884745762711865
32,256,wormhole_b0,riscv_0,33792,0,1,0,0,1,4885.0,1.6769703172978505
32,256,wormhole_b0,riscv_0,34816,1,1,0,0,0,4929.0,1.6620004057618178
32,256,wormhole_b0,riscv_0,35840,1,1,0,0,1,3910.0,2.0951406649616366
32,512,wormhole_b0,riscv_0,36864,0,1,0,0,0,11534.0,1.4204959250910352
32,512,wormhole_b0,riscv_0,37888,0,1,0,0,1,9494.0,1.7257215083210449
32,512,wormhole_b0,riscv_0,38912,1,1,0,0,0,9790.0,1.673544433094995
32,512,wormhole_b0,riscv_0,39936,1,1,0,0,1,7751.0,2.1137917688040253
32,1024,wormhole_b0,riscv_0,40960,0,1,0,0,0,22796.0,1.4374451658185647
32,1024,wormhole_b0,riscv_0,41984,0,1,0,0,1,18711.0,1.7512693068248624
32,1024,wormhole_b0,riscv_0,43008,1,1,0,0,0,19522.0,1.6785165454359185
32,1024,wormhole_b0,riscv_0,44032,1,1,0,0,1,15430.0,2.123655217109527
