Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,0,2x2,4,128,712.0,0.1797752808988764
64,1,wormhole_b0,riscv_1,1024,2x2,4,256,709.0,0.3610719322990127
128,1,wormhole_b0,riscv_1,2048,2x2,4,512,740.0,0.6918918918918919
256,1,wormhole_b0,riscv_1,3072,2x2,4,1024,741.0,1.3819163292847503
512,1,wormhole_b0,riscv_1,4096,2x2,4,2048,721.0,2.840499306518724
1024,1,wormhole_b0,riscv_1,5120,2x2,4,4096,804.0,5.0945273631840795
2048,1,wormhole_b0,riscv_1,6144,2x2,4,8192,792.0,10.343434343434344
4096,1,wormhole_b0,riscv_1,7168,2x2,4,16384,1048.0,15.633587786259541
8192,1,wormhole_b0,riscv_1,8192,2x2,4,32768,1175.0,27.887659574468085
32,4,wormhole_b0,riscv_1,9216,2x2,4,512,833.0,0.6146458583433373
64,4,wormhole_b0,riscv_1,10240,2x2,4,1024,938.0,1.091684434968017
128,4,wormhole_b0,riscv_1,11264,2x2,4,2048,809.0,2.5315203955500616
256,4,wormhole_b0,riscv_1,12288,2x2,4,4096,796.0,5.1457286432160805
512,4,wormhole_b0,riscv_1,13312,2x2,4,8192,825.0,9.92969696969697
1024,4,wormhole_b0,riscv_1,14336,2x2,4,16384,1014.0,16.157790927021697
2048,4,wormhole_b0,riscv_1,15360,2x2,4,32768,1085.0,30.200921658986175
4096,4,wormhole_b0,riscv_1,16384,2x2,4,65536,1580.0,41.47848101265823
8192,4,wormhole_b0,riscv_1,17408,2x2,4,131072,3166.0,41.399873657612126
32,16,wormhole_b0,riscv_1,18432,2x2,4,2048,1329.0,1.5410082768999247
64,16,wormhole_b0,riscv_1,19456,2x2,4,4096,1277.0,3.207517619420517
128,16,wormhole_b0,riscv_1,20480,2x2,4,8192,1320.0,6.206060606060606
256,16,wormhole_b0,riscv_1,21504,2x2,4,16384,1320.0,12.412121212121212
512,16,wormhole_b0,riscv_1,22528,2x2,4,32768,1338.0,24.490284005979074
1024,16,wormhole_b0,riscv_1,23552,2x2,4,65536,1730.0,37.882080924855494
2048,16,wormhole_b0,riscv_1,24576,2x2,4,131072,2653.0,49.40520165849981
4096,16,wormhole_b0,riscv_1,25600,2x2,4,262144,4569.0,57.37448019260232
8192,16,wormhole_b0,riscv_1,26624,2x2,4,524288,9127.0,57.44362879368906
32,64,wormhole_b0,riscv_1,27648,2x2,4,8192,3190.0,2.568025078369906
64,64,wormhole_b0,riscv_1,28672,2x2,4,16384,3304.0,4.958837772397095
128,64,wormhole_b0,riscv_1,29696,2x2,4,32768,3208.0,10.214463840399002
256,64,wormhole_b0,riscv_1,30720,2x2,4,65536,3249.0,20.171129578331794
512,64,wormhole_b0,riscv_1,31744,2x2,4,131072,3268.0,40.10771113831089
1024,64,wormhole_b0,riscv_1,32768,2x2,4,262144,4346.0,60.318453750575244
2048,64,wormhole_b0,riscv_1,33792,2x2,4,524288,8269.0,63.404039182488816
4096,64,wormhole_b0,riscv_1,34816,2x2,4,1048576,15609.0,67.17765391761164
8192,64,wormhole_b0,riscv_1,35840,2x2,4,2097152,32626.0,64.27855084901613
32,256,wormhole_b0,riscv_1,36864,2x2,4,32768,10836.0,3.0239940937615355
64,256,wormhole_b0,riscv_1,37888,2x2,4,65536,10822.0,6.055812234337461
128,256,wormhole_b0,riscv_1,38912,2x2,4,131072,10793.0,12.14416751598258
256,256,wormhole_b0,riscv_1,39936,2x2,4,262144,10829.0,24.207590728599133
512,256,wormhole_b0,riscv_1,40960,2x2,4,524288,10881.0,48.183806635419536
1024,256,wormhole_b0,riscv_1,41984,2x2,4,1048576,15890.0,65.98967904342354
2048,256,wormhole_b0,riscv_1,43008,2x2,4,2097152,31370.0,66.85215173732865
4096,256,wormhole_b0,riscv_1,44032,2x2,4,4194304,63121.0,66.4486304082635
8192,256,wormhole_b0,riscv_1,45056,2x2,4,8388608,128022.0,65.5247379356673
32,1,wormhole_b0,riscv_1,46080,6x6,36,1152,994.0,1.158953722334004
64,1,wormhole_b0,riscv_1,47104,6x6,36,2304,890.0,2.58876404494382
128,1,wormhole_b0,riscv_1,48128,6x6,36,4608,887.0,5.195039458850056
256,1,wormhole_b0,riscv_1,49152,6x6,36,9216,869.0,10.605293440736478
512,1,wormhole_b0,riscv_1,50176,6x6,36,18432,951.0,19.381703470031546
