Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,4,wormhole_b0,riscv_1,0,L1,unicast,all_from_all,True,False,False,4,1,350.0,0.366480154445208
64,4,wormhole_b0,riscv_1,1024,L1,unicast,all_from_all,True,False,False,4,1,353.0,0.7260515004218053
128,4,wormhole_b0,riscv_1,2048,L1,unicast,all_from_all,True,False,False,4,1,353.5,1.4501866897424804
256,4,wormhole_b0,riscv_1,3072,L1,unicast,all_from_all,True,False,False,4,1,358.0,2.8660599806110643
512,4,wormhole_b0,riscv_1,4096,L1,unicast,all_from_all,True,False,False,4,1,365.5,5.613378327709036
1024,4,wormhole_b0,riscv_1,5120,L1,unicast,all_from_all,True,False,False,4,1,419.5,9.787377534745955
2048,4,wormhole_b0,riscv_1,6144,L1,unicast,all_from_all,True,False,False,4,1,527.5,15.581950484267614
4096,4,wormhole_b0,riscv_1,7168,L1,unicast,all_from_all,True,False,False,4,1,864.0,19.114780971876954
8192,4,wormhole_b0,riscv_1,8192,L1,unicast,all_from_all,True,False,False,4,1,1817.0,18.283013439089586
16384,4,wormhole_b0,riscv_1,9216,L1,unicast,all_from_all,True,False,False,4,1,3282.0,21.343217133781884
32768,4,wormhole_b0,riscv_1,10240,L1,unicast,all_from_all,True,False,False,4,1,8070.5,16.2535666631634
65536,4,wormhole_b0,riscv_1,11264,L1,unicast,all_from_all,True,False,False,4,1,13134.5,20.068448642459614
32,16,wormhole_b0,riscv_1,12288,L1,unicast,all_from_all,True,False,False,4,1,561.0,0.9126559714795008
64,16,wormhole_b0,riscv_1,13312,L1,unicast,all_from_all,True,False,False,4,1,561.5,1.8241045652104946
128,16,wormhole_b0,riscv_1,14336,L1,unicast,all_from_all,True,False,False,4,1,566.5,3.615251343030575
256,16,wormhole_b0,riscv_1,15360,L1,unicast,all_from_all,True,False,False,4,1,571.0,7.175162596637624
512,16,wormhole_b0,riscv_1,16384,L1,unicast,all_from_all,True,False,False,4,1,661.0,12.39379727858459
1024,16,wormhole_b0,riscv_1,17408,L1,unicast,all_from_all,True,False,False,4,1,987.5,16.645884003934302
2048,16,wormhole_b0,riscv_1,18432,L1,unicast,all_from_all,True,False,False,4,1,1790.0,18.437349020007236
4096,16,wormhole_b0,riscv_1,19456,L1,unicast,all_from_all,True,False,False,4,1,4189.5,15.81063748703048
8192,16,wormhole_b0,riscv_1,20480,L1,unicast,all_from_all,True,False,False,4,1,8615.0,15.22025062682586
16384,16,wormhole_b0,riscv_1,21504,L1,unicast,all_from_all,True,False,False,4,1,15874.0,16.53544327757568
32768,16,wormhole_b0,riscv_1,22528,L1,unicast,all_from_all,True,False,False,4,1,30071.0,17.47212112204941
65536,16,wormhole_b0,riscv_1,23552,L1,unicast,all_from_all,True,False,False,4,1,80492.0,13.075817623459612
32,64,wormhole_b0,riscv_1,24576,L1,unicast,all_from_all,True,False,False,4,1,1945.0,1.0538613928444436
64,64,wormhole_b0,riscv_1,25600,L1,unicast,all_from_all,True,False,False,4,1,1998.0,2.053020549752799
128,64,wormhole_b0,riscv_1,26624,L1,unicast,all_from_all,True,False,False,4,1,2014.5,4.075109626649586
256,64,wormhole_b0,riscv_1,27648,L1,unicast,all_from_all,True,False,False,4,1,1974.0,8.316426206475198
512,64,wormhole_b0,riscv_1,28672,L1,unicast,all_from_all,True,False,False,4,1,2582.5,12.750077368290842
