Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,wormhole_b0,riscv_0,1024,12,35,71680,1056.0,67.87878787878788
4096,1,wormhole_b0,riscv_0,2048,12,35,143360,1279.0,112.08756841282252
8192,1,wormhole_b0,riscv_0,3072,12,35,286720,1825.0,157.1068493150685
16384,1,wormhole_b0,riscv_0,4096,12,35,573440,2934.0,195.4464894342195
32768,1,wormhole_b0,riscv_0,5120,12,35,1146880,5860.0,195.7133105802048
65536,1,wormhole_b0,riscv_0,6144,12,35,2293760,10816.0,212.07100591715977
2048,4,wormhole_b0,riscv_0,7168,12,35,286720,1833.0,156.42116748499728
4096,4,wormhole_b0,riscv_0,8192,12,35,573440,2934.0,195.4464894342195
8192,4,wormhole_b0,riscv_0,9216,12,35,1146880,5293.0,216.67863215567732
16384,4,wormhole_b0,riscv_0,10240,12,35,2293760,10666.0,215.0534408400525
32768,4,wormhole_b0,riscv_0,11264,12,35,4587520,20906.0,219.43556873624797
65536,4,wormhole_b0,riscv_0,12288,12,35,9175040,46413.0,197.68254583845044
2048,16,wormhole_b0,riscv_0,13312,12,35,1146880,5717.0,200.6087108623404
4096,16,wormhole_b0,riscv_0,14336,12,35,2293760,10601.0,216.37204037354965
8192,16,wormhole_b0,riscv_0,15360,12,35,4587520,20905.0,219.44606553456111
16384,16,wormhole_b0,riscv_0,16384,12,35,9175040,46500.0,197.312688172043
32768,16,wormhole_b0,riscv_0,17408,12,35,18350080,98034.0,187.18077401717773
65536,16,wormhole_b0,riscv_0,18432,12,35,36700160,201379.0,182.24422606130727
2048,64,wormhole_b0,riscv_0,19456,12,35,4587520,20795.0,220.6068766530416
4096,64,wormhole_b0,riscv_0,20480,12,35,9175040,46022.0,199.36204423971145
8192,64,wormhole_b0,riscv_0,21504,12,35,18350080,97833.0,187.56534093812925
16384,64,wormhole_b0,riscv_0,22528,12,35,36700160,200888.0,182.68965791884034
32768,64,wormhole_b0,riscv_0,23552,12,35,73400320,407562.0,180.09608354066376
65536,64,wormhole_b0,riscv_0,24576,12,35,146800640,823331.0,178.30087777576696
2048,256,wormhole_b0,riscv_0,25600,12,35,18350080,98310.0,186.65527413284508
4096,256,wormhole_b0,riscv_0,26624,12,35,36700160,200346.0,183.18389186706997
8192,256,wormhole_b0,riscv_0,27648,12,35,73400320,406882.0,180.39706843753225
16384,256,wormhole_b0,riscv_0,28672,12,35,146800640,821161.0,178.77205566265323
32768,256,wormhole_b0,riscv_0,29696,12,35,293601280,1648871.0,178.06200727649403
65536,256,wormhole_b0,riscv_0,30720,12,35,587202560,3308253.0,177.49626766755748
