Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
2048,1,wormhole_b0,riscv_0,154624,1,2,4096,593.0,6.90725126475548
4096,1,wormhole_b0,riscv_0,155648,1,2,8192,755.0,10.850331125827815
8192,1,wormhole_b0,riscv_0,156672,1,2,16384,1231.0,13.309504467912266
16384,1,wormhole_b0,riscv_0,157696,1,2,32768,1919.0,17.075560187597706
32768,1,wormhole_b0,riscv_0,158720,1,2,65536,3250.0,20.164923076923078
65536,1,wormhole_b0,riscv_0,159744,1,2,131072,6258.0,20.944710770214126
2048,4,wormhole_b0,riscv_0,160768,1,2,16384,1252.0,13.08626198083067
4096,4,wormhole_b0,riscv_0,161792,1,2,32768,1936.0,16.925619834710744
8192,4,wormhole_b0,riscv_0,162816,1,2,65536,3409.0,19.224405984159578
16384,4,wormhole_b0,riscv_0,163840,1,2,131072,6271.0,20.901291660022324
32768,4,wormhole_b0,riscv_0,164864,1,2,262144,12126.0,21.618340755401615
65536,4,wormhole_b0,riscv_0,165888,1,2,524288,23976.0,21.8672005338672
2048,16,wormhole_b0,riscv_0,166912,1,2,65536,3265.0,20.07228177641654
4096,16,wormhole_b0,riscv_0,167936,1,2,131072,6280.0,20.871337579617833
8192,16,wormhole_b0,riscv_0,168960,1,2,262144,12113.0,21.641542144803104
16384,16,wormhole_b0,riscv_0,169984,1,2,524288,23944.0,21.896424991647176
32768,16,wormhole_b0,riscv_0,171008,1,2,1048576,47427.0,22.109262656292827
65536,16,wormhole_b0,riscv_0,172032,1,2,2097152,94502.0,22.191614992275294
2048,64,wormhole_b0,riscv_0,173056,1,2,262144,12151.0,21.573862233561023
4096,64,wormhole_b0,riscv_0,174080,1,2,524288,23821.0,22.009487427060158
8192,64,wormhole_b0,riscv_0,175104,1,2,1048576,47221.0,22.205713559645073
16384,64,wormhole_b0,riscv_0,176128,1,2,2097152,94373.0,22.22194907441747
32768,64,wormhole_b0,riscv_0,177152,1,2,4194304,188378.0,22.26536007389398
65536,64,wormhole_b0,riscv_0,178176,1,2,8388608,376499.0,22.28055851409964
2048,256,wormhole_b0,riscv_0,179200,1,2,1048576,47389.0,22.126991495916773
4096,256,wormhole_b0,riscv_0,180224,1,2,2097152,94415.0,22.212063761054917
8192,256,wormhole_b0,riscv_0,181248,1,2,4194304,188202.0,22.286181868417977
16384,256,wormhole_b0,riscv_0,182272,1,2,8388608,376243.0,22.295718458549395
32768,256,wormhole_b0,riscv_0,183296,1,2,16777216,752540.0,22.2941185850586
65536,256,wormhole_b0,riscv_0,184320,1,2,33554432,1504537.0,22.302164719112923
