RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,0,32,1,479.0,0.06693449781659389
riscv_1,Receiver,1024,64,1,461.0,0.13927163728197503
riscv_1,Receiver,2048,128,1,425.0,0.30239694045448484
riscv_1,Receiver,3072,256,1,462.0,0.5544866385372714
riscv_1,Receiver,4096,512,1,467.5,1.0953387697573744
riscv_1,Receiver,5120,1024,1,486.0,2.1085045354980574
riscv_1,Receiver,6144,2048,1,491.0,4.193623454344517
riscv_1,Receiver,7168,4096,1,635.0,6.451177649463261
riscv_1,Receiver,8192,8192,1,732.5,11.185916196597606
riscv_1,Receiver,9216,16384,1,1059.5,15.466409113669613
riscv_1,Receiver,10240,32768,1,1684.5,19.453275300005288
riscv_1,Receiver,11264,65536,1,2974.5,22.03355747027049
riscv_1,Receiver,12288,131072,1,5579.5,23.491719970776217
riscv_1,Receiver,13312,262144,1,10723.5,24.445848255619758
riscv_1,Receiver,14336,524288,1,21051.5,24.905061144554193
riscv_1,Receiver,15360,32,4,954.5,0.13410990390927033
riscv_1,Receiver,16384,64,4,943.0,0.2715427255057231
riscv_1,Receiver,17408,128,4,969.0,0.5283938415397855
riscv_1,Receiver,18432,256,4,950.5,1.0777813458535883
riscv_1,Receiver,19456,512,4,935.0,2.193274529275464
riscv_1,Receiver,20480,1024,4,1044.0,3.9246715462450954
riscv_1,Receiver,21504,2048,4,1173.5,6.983393820699755
riscv_1,Receiver,22528,4096,4,1443.5,11.350791089575548
riscv_1,Receiver,23552,8192,4,1991.5,16.45457745448971
riscv_1,Receiver,24576,16384,4,3177.0,20.62892785647089
riscv_1,Receiver,25600,32768,4,5493.5,23.859906905662044
riscv_1,Receiver,26624,65536,4,10261.0,25.5476096294708
riscv_1,Receiver,27648,131072,4,19581.5,26.774701669939795
riscv_1,Receiver,28672,262144,4,38780.0,27.03911072660005
riscv_1,Receiver,29696,524288,4,76565.0,27.39048316841438
riscv_1,Receiver,30720,32,16,2872.5,0.17825712067335114
riscv_1,Receiver,31744,64,16,2872.0,0.35658486879150053
riscv_1,Receiver,32768,128,16,2865.5,0.7147535425007527
riscv_1,Receiver,33792,256,16,2867.0,1.4287338332282151
riscv_1,Receiver,34816,512,16,2870.0,2.854413965928959
riscv_1,Receiver,35840,1024,16,3133.5,5.228904216182743
riscv_1,Receiver,36864,2048,16,3721.5,8.805765270312035
riscv_1,Receiver,37888,4096,16,4839.5,13.542332102078205
riscv_1,Receiver,38912,8192,16,7120.5,18.40791401812827
riscv_1,Receiver,39936,16384,16,11724.0,22.35965693645219
riscv_1,Receiver,40960,32768,16,20633.0,25.410175399371354
riscv_1,Receiver,41984,65536,16,39543.5,26.51702650802404
riscv_1,Receiver,43008,131072,16,76392.5,27.45232844596731
riscv_1,Receiver,44032,262144,16,151219.0,27.736620544996626
riscv_1,Receiver,45056,524288,16,299507.0,28.008053286914297
riscv_1,Receiver,46080,32,64,10419.5,0.19655515679832325
riscv_1,Receiver,47104,64,64,10248.0,0.3996911691728606
riscv_1,Receiver,48128,128,64,10392.5,0.788265145885702
riscv_1,Receiver,49152,256,64,10385.0,1.5776653675774237
riscv_1,Receiver,50176,512,64,10472.5,3.128968781294212
riscv_1,Receiver,51200,1024,64,11340.5,5.778936437026186
riscv_1,Receiver,52224,2048,64,13723.5,9.550966631208283
riscv_1,Receiver,53248,4096,64,18224.5,14.384159967317114
riscv_1,Receiver,54272,8192,64,27436.5,19.10914344409256
riscv_1,Receiver,55296,16384,64,45805.5,22.891928982445435
riscv_1,Receiver,56320,32768,64,82652.0,25.37327608578708
riscv_1,Receiver,57344,65536,64,156349.5,26.826463167397122
riscv_1,Receiver,58368,131072,64,303184.0,27.6683730882037
riscv_1,Receiver,59392,262144,64,598116.5,28.050080565855993
riscv_1,Receiver,60416,524288,64,1190532.5,28.184389765925708
riscv_1,Receiver,61440,32,256,39985.0,0.20487686161570096
riscv_1,Receiver,62464,64,256,41897.0,0.3910544144992245
riscv_1,Receiver,63488,128,256,40010.0,0.8189960293561704
riscv_1,Receiver,64512,256,256,41443.0,1.5813528127074006
riscv_1,Receiver,65536,512,256,40243.5,3.2569768082540076
riscv_1,Receiver,66560,1024,256,44830.0,5.847514502164124
riscv_1,Receiver,67584,2048,256,53099.0,9.873783157890527
riscv_1,Receiver,68608,4096,256,72102.5,14.542855144307275
riscv_1,Receiver,69632,8192,256,105877.5,19.807343668210212
riscv_1,Receiver,70656,16384,256,181991.0,23.046766634073055
riscv_1,Receiver,71680,32768,256,329388.5,25.467215786154732
riscv_1,Receiver,72704,65536,256,619634.0,27.076009396340964
riscv_1,Receiver,73728,131072,256,1211785.0,27.690086938543242
riscv_1,Receiver,74752,262144,256,2389589.0,28.083852077146013
riscv_1,Receiver,75776,524288,256,4496806.5,29.84734344301265
