RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,0,32,1,436.0,0.07339449541284404
riscv_1,Receiver,1024,64,1,390.0,0.1641025641025641
riscv_1,Receiver,2048,128,1,448.0,0.2857142857142857
riscv_1,Receiver,3072,256,1,452.0,0.5663716814159292
riscv_1,Receiver,4096,512,1,445.0,1.150561797752809
riscv_1,Receiver,5120,1024,1,428.0,2.392523364485981
riscv_1,Receiver,6144,2048,1,496.0,4.129032258064516
riscv_1,Receiver,7168,4096,1,505.0,8.110891089108911
riscv_1,Receiver,8192,8192,1,704.0,11.636363636363637
riscv_1,Receiver,9216,16384,1,1032.0,15.875968992248062
riscv_1,Receiver,10240,32768,1,1708.0,19.185011709601874
riscv_1,Receiver,11264,65536,1,2934.0,22.336741649625086
riscv_1,Receiver,12288,131072,1,5477.0,23.931349278802266
riscv_1,Receiver,13312,262144,1,10286.0,25.485514291269688
riscv_1,Receiver,14336,524288,1,20604.0,25.445932828576975
riscv_1,Receiver,15360,32,4,951.0,0.13459516298633017
riscv_1,Receiver,16384,64,4,943.0,0.271474019088017
riscv_1,Receiver,17408,128,4,899.0,0.5695216907675195
riscv_1,Receiver,18432,256,4,879.0,1.1649601820250284
riscv_1,Receiver,19456,512,4,951.0,2.153522607781283
riscv_1,Receiver,20480,1024,4,979.0,4.183861082737487
riscv_1,Receiver,21504,2048,4,1166.0,7.025728987993139
riscv_1,Receiver,22528,4096,4,1425.0,11.497543859649122
riscv_1,Receiver,23552,8192,4,2006.0,16.334995014955133
riscv_1,Receiver,24576,16384,4,3141.0,20.86469277300223
riscv_1,Receiver,25600,32768,4,5409.0,24.232205583287115
riscv_1,Receiver,26624,65536,4,10097.0,25.962563137565613
riscv_1,Receiver,27648,131072,4,19308.0,27.153925833851254
riscv_1,Receiver,28672,262144,4,37851.0,27.702729122083962
riscv_1,Receiver,29696,524288,4,74486.0,28.154982144295573
riscv_1,Receiver,30720,32,16,2768.0,0.18497109826589594
riscv_1,Receiver,31744,64,16,2754.0,0.3718228031953522
riscv_1,Receiver,32768,128,16,2754.0,0.7436456063907044
riscv_1,Receiver,33792,256,16,2802.0,1.4618129907209136
riscv_1,Receiver,34816,512,16,2755.0,2.973502722323049
riscv_1,Receiver,35840,1024,16,2999.0,5.463154384794931
riscv_1,Receiver,36864,2048,16,3607.0,9.084557804269476
riscv_1,Receiver,37888,4096,16,4668.0,14.03941730934019
riscv_1,Receiver,38912,8192,16,6951.0,18.856567400374047
riscv_1,Receiver,39936,16384,16,11402.0,22.991054201017366
riscv_1,Receiver,40960,32768,16,20427.0,25.666421892593135
riscv_1,Receiver,41984,65536,16,38271.0,27.39870920540357
riscv_1,Receiver,43008,131072,16,74104.0,28.300118752024183
riscv_1,Receiver,44032,262144,16,145506.0,28.82564292881393
riscv_1,Receiver,45056,524288,16,288082.0,29.118820335876592
riscv_1,Receiver,46080,32,64,10161.0,0.20155496506249385
riscv_1,Receiver,47104,64,64,10139.0,0.40398461386724527
riscv_1,Receiver,48128,128,64,10197.0,0.803373541237619
riscv_1,Receiver,49152,256,64,10133.0,1.6168952926083096
riscv_1,Receiver,50176,512,64,10206.0,3.210660395845581
riscv_1,Receiver,51200,1024,64,11159.0,5.872927681691908
riscv_1,Receiver,52224,2048,64,13285.0,9.86616484757245
riscv_1,Receiver,53248,4096,64,17913.0,14.634287947300843
riscv_1,Receiver,54272,8192,64,27006.0,19.413759905206252
riscv_1,Receiver,55296,16384,64,45504.0,23.043600562587905
riscv_1,Receiver,56320,32768,64,80043.0,26.20031732943543
riscv_1,Receiver,57344,65536,64,151243.0,27.732219011788974
riscv_1,Receiver,58368,131072,64,293717.0,28.560171866116022
riscv_1,Receiver,59392,262144,64,576647.0,29.09443038808838
riscv_1,Receiver,60416,524288,64,1144129.0,29.327490169377754
riscv_1,Receiver,61440,32,256,39847.0,0.20558636785705323
riscv_1,Receiver,62464,64,256,40809.0,0.40148006567178807
riscv_1,Receiver,63488,128,256,39845.0,0.8223867486510227
riscv_1,Receiver,64512,256,256,39841.0,1.6449386310584573
riscv_1,Receiver,65536,512,256,39934.0,3.282215655832123
riscv_1,Receiver,66560,1024,256,44066.0,5.948894839558844
riscv_1,Receiver,67584,2048,256,52533.0,9.980164848761731
riscv_1,Receiver,68608,4096,256,70887.0,14.792218601436089
riscv_1,Receiver,69632,8192,256,104343.0,20.098636228592238
riscv_1,Receiver,70656,16384,256,177302.0,23.656270092835953
riscv_1,Receiver,71680,32768,256,324047.0,25.88701021765361
riscv_1,Receiver,72704,65536,256,613378.0,27.35216457062366
riscv_1,Receiver,73728,131072,256,1190756.0,28.179099664414878
riscv_1,Receiver,74752,262144,256,2346610.0,28.598217854692514
riscv_1,Receiver,75776,524288,256,4641782.0,28.91512957739075
