Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Virtual Channels,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,256,wormhole_b0,riscv_0,62464,1,0,5818.0,1.408044001375043
32,256,wormhole_b0,riscv_0,63488,2,0,6336.0,1.292929292929293
32,256,wormhole_b0,riscv_0,64512,3,0,7869.0,1.0410471470326599
32,256,wormhole_b0,riscv_0,65536,4,0,6336.0,1.292929292929293
64,256,wormhole_b0,riscv_0,66560,1,0,5816.0,2.8170563961485557
64,256,wormhole_b0,riscv_0,67584,2,0,6336.0,2.585858585858586
64,256,wormhole_b0,riscv_0,68608,3,0,7870.0,2.0818297331639135
64,256,wormhole_b0,riscv_0,69632,4,0,6335.0,2.586266771902131
128,256,wormhole_b0,riscv_0,70656,1,0,5819.0,5.63120811135934
128,256,wormhole_b0,riscv_0,71680,2,0,6337.0,5.1709010572826255
128,256,wormhole_b0,riscv_0,72704,3,0,7870.0,4.163659466327827
128,256,wormhole_b0,riscv_0,73728,4,0,6336.0,5.171717171717172
256,256,wormhole_b0,riscv_0,74752,1,0,5825.0,11.250815450643778
256,256,wormhole_b0,riscv_0,75776,2,0,6343.0,10.332019549109255
256,256,wormhole_b0,riscv_0,76800,3,0,7875.0,8.322031746031746
256,256,wormhole_b0,riscv_0,77824,4,0,6345.0,10.32876280535855
512,256,wormhole_b0,riscv_0,78848,1,0,5833.0,22.470769758271903
512,256,wormhole_b0,riscv_0,79872,2,0,6351.0,20.638009762242167
512,256,wormhole_b0,riscv_0,80896,3,0,7886.0,16.620847070758305
512,256,wormhole_b0,riscv_0,81920,4,0,6351.0,20.638009762242167
1024,256,wormhole_b0,riscv_0,82944,1,0,8885.0,29.50410804727068
1024,256,wormhole_b0,riscv_0,83968,2,0,8779.0,29.860348559061396
1024,256,wormhole_b0,riscv_0,84992,3,0,8833.0,29.67779916223254
1024,256,wormhole_b0,riscv_0,86016,4,0,8847.0,29.630835311404997
2048,256,wormhole_b0,riscv_0,87040,1,0,17224.0,30.439386901997214
2048,256,wormhole_b0,riscv_0,88064,2,0,17097.0,30.665496870796048
2048,256,wormhole_b0,riscv_0,89088,3,0,17223.0,30.4411542704523
2048,256,wormhole_b0,riscv_0,90112,4,0,17302.0,30.30216159981505
4096,256,wormhole_b0,riscv_0,91136,1,0,34089.0,30.759951890639208
4096,256,wormhole_b0,riscv_0,92160,2,0,33805.0,31.01837006360006
4096,256,wormhole_b0,riscv_0,93184,3,0,34088.0,30.760854259563484
4096,256,wormhole_b0,riscv_0,94208,4,0,33834.0,30.991783413134716
8192,256,wormhole_b0,riscv_0,95232,1,0,67577.0,31.03351732098199
8192,256,wormhole_b0,riscv_0,96256,2,0,67821.0,30.92186785803807
8192,256,wormhole_b0,riscv_0,97280,3,0,67482.0,31.077205773391423
8192,256,wormhole_b0,riscv_0,98304,4,0,67836.0,30.915030367356565
16384,256,wormhole_b0,riscv_0,99328,1,0,135272.0,31.00644627121651
16384,256,wormhole_b0,riscv_0,100352,2,0,134683.0,31.142044653000006
16384,256,wormhole_b0,riscv_0,101376,3,0,134979.0,31.073752213307255
16384,256,wormhole_b0,riscv_0,102400,4,0,134826.0,31.10901458175723
32768,256,wormhole_b0,riscv_0,103424,1,0,269468.0,31.13025665385129
32768,256,wormhole_b0,riscv_0,104448,2,0,268719.0,31.217025963925142
32768,256,wormhole_b0,riscv_0,105472,3,0,269186.0,31.162868797039966
32768,256,wormhole_b0,riscv_0,106496,4,0,269241.0,31.156502910032277
65536,256,wormhole_b0,riscv_0,107520,1,0,541389.0,30.989207390619313
65536,256,wormhole_b0,riscv_0,108544,2,0,537545.0,31.210812118055234
65536,256,wormhole_b0,riscv_0,109568,3,0,538042.0,31.181982075748735
65536,256,wormhole_b0,riscv_0,110592,4,0,537369.0,31.221034335810216
131072,256,wormhole_b0,riscv_0,111616,1,0,1076922.0,31.157718014860873
131072,256,wormhole_b0,riscv_0,112640,2,0,1074544.0,31.226671034410877
131072,256,wormhole_b0,riscv_0,113664,3,0,1076090.0,31.18180821306768
131072,256,wormhole_b0,riscv_0,114688,4,0,1076683.0,31.164634344556383
32,256,wormhole_b0,riscv_0,115712,1,1,6074.0,1.3486993743826143
32,256,wormhole_b0,riscv_0,116736,2,1,6591.0,1.2429069943862843
32,256,wormhole_b0,riscv_0,117760,3,1,8125.0,1.0082461538461538
32,256,wormhole_b0,riscv_0,118784,4,1,6590.0,1.2430955993930197
64,256,wormhole_b0,riscv_0,119808,1,1,6072.0,2.6982872200263506
64,256,wormhole_b0,riscv_0,120832,2,1,6590.0,2.4861911987860394
64,256,wormhole_b0,riscv_0,121856,3,1,8126.0,2.016244154565592
64,256,wormhole_b0,riscv_0,122880,4,1,6591.0,2.4858139887725685
128,256,wormhole_b0,riscv_0,123904,1,1,6072.0,5.396574440052701
128,256,wormhole_b0,riscv_0,124928,2,1,6590.0,4.972382397572079
128,256,wormhole_b0,riscv_0,125952,3,1,8127.0,4.031992125015381
128,256,wormhole_b0,riscv_0,126976,4,1,6591.0,4.971627977545137
256,256,wormhole_b0,riscv_0,128000,1,1,6081.0,10.777174806775202
256,256,wormhole_b0,riscv_0,129024,2,1,6598.0,9.932706880872992
256,256,wormhole_b0,riscv_0,130048,3,1,8132.0,8.059026069847516
256,256,wormhole_b0,riscv_0,131072,4,1,6598.0,9.932706880872992
512,256,wormhole_b0,riscv_0,132096,1,1,6089.0,21.52603054688783
512,256,wormhole_b0,riscv_0,133120,2,1,6607.0,19.838353261692145
512,256,wormhole_b0,riscv_0,134144,3,1,8141.0,16.100233386561847
512,256,wormhole_b0,riscv_0,135168,4,1,6608.0,19.83535108958838
1024,256,wormhole_b0,riscv_0,136192,1,1,9450.0,27.74010582010582
1024,256,wormhole_b0,riscv_0,137216,2,1,8766.0,29.904631530914898
1024,256,wormhole_b0,riscv_0,138240,3,1,8834.0,29.674439664930947
1024,256,wormhole_b0,riscv_0,139264,4,1,8945.0,29.306204583566238
2048,256,wormhole_b0,riscv_0,140288,1,1,18644.0,28.12100407637846
2048,256,wormhole_b0,riscv_0,141312,2,1,17253.0,30.38822233814409
2048,256,wormhole_b0,riscv_0,142336,3,1,17194.0,30.492497382807958
2048,256,wormhole_b0,riscv_0,143360,4,1,17188.0,30.50314172678613
4096,256,wormhole_b0,riscv_0,144384,1,1,37082.0,28.277223450730812
4096,256,wormhole_b0,riscv_0,145408,2,1,33733.0,31.08457593454481
4096,256,wormhole_b0,riscv_0,146432,3,1,34194.0,30.665496870796048
4096,256,wormhole_b0,riscv_0,147456,4,1,34202.0,30.65832407461552
8192,256,wormhole_b0,riscv_0,148480,1,1,73931.0,28.366341588778727
8192,256,wormhole_b0,riscv_0,149504,2,1,67888.0,30.891350459580487
8192,256,wormhole_b0,riscv_0,150528,3,1,68107.0,30.792018441569883
8192,256,wormhole_b0,riscv_0,151552,4,1,68199.0,30.75048021231983
16384,256,wormhole_b0,riscv_0,152576,1,1,147678.0,28.401684746543154
16384,256,wormhole_b0,riscv_0,153600,2,1,134716.0,31.134416104991242
16384,256,wormhole_b0,riscv_0,154624,3,1,134856.0,31.102094085543097
16384,256,wormhole_b0,riscv_0,155648,4,1,134676.0,31.14366331046363
32768,256,wormhole_b0,riscv_0,156672,1,1,295131.0,28.423337433207628
32768,256,wormhole_b0,riscv_0,157696,2,1,280948.0,29.8582228739838
32768,256,wormhole_b0,riscv_0,158720,3,1,282444.0,29.700075059126764
32768,256,wormhole_b0,riscv_0,159744,4,1,281110.0,29.841015972395148
65536,256,wormhole_b0,riscv_0,160768,1,1,590040.0,28.434031591078572
65536,256,wormhole_b0,riscv_0,161792,2,1,575626.0,29.146035794074624
65536,256,wormhole_b0,riscv_0,162816,3,1,576436.0,29.105080182361963
65536,256,wormhole_b0,riscv_0,163840,4,1,575627.0,29.1459851605293
131072,256,wormhole_b0,riscv_0,164864,1,1,1179868.0,28.439140649631995
131072,256,wormhole_b0,riscv_0,165888,2,1,1166537.0,28.764138642837732
131072,256,wormhole_b0,riscv_0,166912,3,1,1165844.0,28.781236597692317
