Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,2,wormhole_b0,riscv_0,0,308.0,0.2077922077922078
64,2,wormhole_b0,riscv_0,1024,311.0,0.4115755627009646
128,2,wormhole_b0,riscv_0,2048,306.0,0.8366013071895425
256,2,wormhole_b0,riscv_0,3072,315.0,1.6253968253968254
512,2,wormhole_b0,riscv_0,4096,323.0,3.170278637770898
1024,2,wormhole_b0,riscv_0,5120,360.0,5.688888888888889
2048,2,wormhole_b0,riscv_0,6144,438.0,9.351598173515981
4096,2,wormhole_b0,riscv_0,7168,575.0,14.246956521739131
8192,2,wormhole_b0,riscv_0,8192,840.0,19.504761904761907
16384,2,wormhole_b0,riscv_0,9216,1389.0,23.591072714182864
32768,2,wormhole_b0,riscv_0,10240,2433.0,26.936292642827784
65536,2,wormhole_b0,riscv_0,11264,4518.0,29.011066843736167
32,4,wormhole_b0,riscv_0,12288,386.0,0.3316062176165803
64,4,wormhole_b0,riscv_0,13312,381.0,0.6719160104986877
128,4,wormhole_b0,riscv_0,14336,382.0,1.3403141361256545
256,4,wormhole_b0,riscv_0,15360,390.0,2.6256410256410256
512,4,wormhole_b0,riscv_0,16384,403.0,5.0818858560794045
1024,4,wormhole_b0,riscv_0,17408,429.0,9.547785547785548
2048,4,wormhole_b0,riscv_0,18432,538.0,15.226765799256505
4096,4,wormhole_b0,riscv_0,19456,807.0,20.302354399008674
8192,4,wormhole_b0,riscv_0,20480,1353.0,24.218773096821877
16384,4,wormhole_b0,riscv_0,21504,2386.0,27.466890192791283
32768,4,wormhole_b0,riscv_0,22528,4486.0,29.218011591618367
65536,4,wormhole_b0,riscv_0,23552,8692.0,30.159226875287622
32,8,wormhole_b0,riscv_0,24576,518.0,0.4942084942084942
64,8,wormhole_b0,riscv_0,25600,504.0,1.0158730158730158
128,8,wormhole_b0,riscv_0,26624,523.0,1.9579349904397705
256,8,wormhole_b0,riscv_0,27648,516.0,3.9689922480620154
512,8,wormhole_b0,riscv_0,28672,537.0,7.62756052141527
1024,8,wormhole_b0,riscv_0,29696,561.0,14.602495543672013
2048,8,wormhole_b0,riscv_0,30720,811.0,20.20221948212084
4096,8,wormhole_b0,riscv_0,31744,1343.0,24.399106478034252
8192,8,wormhole_b0,riscv_0,32768,2406.0,27.238570241064007
16384,8,wormhole_b0,riscv_0,33792,4490.0,29.191982182628063
32768,8,wormhole_b0,riscv_0,34816,8703.0,30.1211076640239
65536,8,wormhole_b0,riscv_0,35840,17105.0,30.651154633148202
32,16,wormhole_b0,riscv_0,36864,811.0,0.6313193588162762
64,16,wormhole_b0,riscv_0,37888,761.0,1.3455978975032852
128,16,wormhole_b0,riscv_0,38912,788.0,2.598984771573604
256,16,wormhole_b0,riscv_0,39936,767.0,5.340286831812255
512,16,wormhole_b0,riscv_0,40960,801.0,10.227215980024969
1024,16,wormhole_b0,riscv_0,41984,820.0,19.98048780487805
2048,16,wormhole_b0,riscv_0,43008,1372.0,23.88338192419825
4096,16,wormhole_b0,riscv_0,44032,2405.0,27.24989604989605
8192,16,wormhole_b0,riscv_0,45056,4503.0,29.107705973795248
16384,16,wormhole_b0,riscv_0,46080,8690.0,30.166168009205983
32768,16,wormhole_b0,riscv_0,47104,17112.0,30.638616175783078
65536,16,wormhole_b0,riscv_0,48128,33913.0,30.919588358446614
32,30,wormhole_b0,riscv_0,49152,1261.0,0.7613005551149881
64,30,wormhole_b0,riscv_0,50176,1200.0,1.6
128,30,wormhole_b0,riscv_0,51200,1254.0,3.062200956937799
256,30,wormhole_b0,riscv_0,52224,1210.0,6.347107438016529
512,30,wormhole_b0,riscv_0,53248,1277.0,12.028191072826939
1024,30,wormhole_b0,riscv_0,54272,1340.0,22.925373134328357
2048,30,wormhole_b0,riscv_0,55296,2301.0,26.70143415906128
4096,30,wormhole_b0,riscv_0,56320,4271.0,28.77077967689066
8192,30,wormhole_b0,riscv_0,57344,8164.0,30.102890739833416
16384,30,wormhole_b0,riscv_0,58368,16044.0,30.6357516828721
32768,30,wormhole_b0,riscv_0,59392,31860.0,30.854990583804142
65536,30,wormhole_b0,riscv_0,60416,63310.0,31.05480966671932
