Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,2,wormhole_b0,riscv_0,0,242.0,0.2644628099173554
64,2,wormhole_b0,riscv_0,1024,243.0,0.5267489711934157
128,2,wormhole_b0,riscv_0,2048,242.0,1.0578512396694215
256,2,wormhole_b0,riscv_0,3072,260.0,1.9692307692307693
512,2,wormhole_b0,riscv_0,4096,284.0,3.6056338028169015
1024,2,wormhole_b0,riscv_0,5120,316.0,6.481012658227848
2048,2,wormhole_b0,riscv_0,6144,380.0,10.778947368421052
4096,2,wormhole_b0,riscv_0,7168,530.0,15.456603773584906
8192,2,wormhole_b0,riscv_0,8192,796.0,20.582914572864322
32,4,wormhole_b0,riscv_0,9216,307.0,0.4169381107491857
64,4,wormhole_b0,riscv_0,10240,309.0,0.8284789644012945
128,4,wormhole_b0,riscv_0,11264,318.0,1.610062893081761
256,4,wormhole_b0,riscv_0,12288,316.0,3.240506329113924
512,4,wormhole_b0,riscv_0,13312,324.0,6.320987654320987
1024,4,wormhole_b0,riscv_0,14336,347.0,11.804034582132564
2048,4,wormhole_b0,riscv_0,15360,492.0,16.650406504065042
4096,4,wormhole_b0,riscv_0,16384,764.0,21.445026178010473
8192,4,wormhole_b0,riscv_0,17408,1329.0,24.656132430398795
32,8,wormhole_b0,riscv_0,18432,423.0,0.6052009456264775
64,8,wormhole_b0,riscv_0,19456,422.0,1.2132701421800949
128,8,wormhole_b0,riscv_0,20480,421.0,2.4323040380047507
256,8,wormhole_b0,riscv_0,21504,429.0,4.773892773892774
512,8,wormhole_b0,riscv_0,22528,437.0,9.37299771167048
1024,8,wormhole_b0,riscv_0,23552,489.0,16.752556237218815
2048,8,wormhole_b0,riscv_0,24576,769.0,21.30559167750325
4096,8,wormhole_b0,riscv_0,25600,1314.0,24.93759512937595
8192,8,wormhole_b0,riscv_0,26624,2377.0,27.570887673538074
32,16,wormhole_b0,riscv_0,27648,650.0,0.7876923076923077
64,16,wormhole_b0,riscv_0,28672,650.0,1.5753846153846154
128,16,wormhole_b0,riscv_0,29696,650.0,3.1507692307692308
256,16,wormhole_b0,riscv_0,30720,658.0,6.224924012158055
512,16,wormhole_b0,riscv_0,31744,665.0,12.318796992481204
1024,16,wormhole_b0,riscv_0,32768,781.0,20.978233034571062
2048,16,wormhole_b0,riscv_0,33792,1324.0,24.749244712990937
4096,16,wormhole_b0,riscv_0,34816,2389.0,27.432398493093345
8192,16,wormhole_b0,riscv_0,35840,4445.0,29.487514060742406
32,30,wormhole_b0,riscv_0,36864,1050.0,0.9142857142857143
64,30,wormhole_b0,riscv_0,37888,1049.0,1.8303145853193519
128,30,wormhole_b0,riscv_0,38912,1050.0,3.657142857142857
256,30,wormhole_b0,riscv_0,39936,1057.0,7.265846736045412
512,30,wormhole_b0,riscv_0,40960,1064.0,14.436090225563909
1024,30,wormhole_b0,riscv_0,41984,1272.0,24.150943396226417
2048,30,wormhole_b0,riscv_0,43008,2257.0,27.22197607443509
4096,30,wormhole_b0,riscv_0,44032,4201.0,29.250178528921687
8192,30,wormhole_b0,riscv_0,45056,8160.0,30.11764705882353
